timestamp,node_id,job_id,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_wait,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_wait_delta
1775001992.3299077,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3414940176,3531853323,91992,35427616,35397221,146
1775001992.8299992,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3449677783,3566563650,92001,34737607,34710327,9
1775001993.3300874,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3490672784,3607529106,92009,40995001,40965456,8
1775001993.8301756,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3526100489,3642926320,92808,35427705,35397214,799
1775001994.3302672,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3566980000,3683884057,97449,40879511,40957737,4641
1775001994.8303578,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3602523360,3719288927,99997,35543360,35404870,2548
1775001995.3304489,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3637261118,3753999275,100001,34737758,34710348,4
1775001995.8305626,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3678256403,3794964654,100946,40995285,40965379,945
1775001996.3306503,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3713684330,3830361923,101294,35427927,35397269,348
1775001996.830744,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3754679516,3871327337,101792,40995186,40965414,498
1775001997.3308344,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3790107407,3906724467,101806,35427891,35397130,14
1775001997.8309267,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3824845274,3941434766,101817,34737867,34710299,11
1775001998.3310146,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3865840655,3982400208,101825,40995381,40965442,8
1775001998.8311126,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3901268635,4017797415,101831,35427980,35397207,6
1775001999.331209,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3942264198,4058763039,102306,40995563,40965624,475
1775001999.8312993,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3977692212,4094160253,102651,35428014,35397214,345
1775002000.3313887,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4018687675,4135125730,104587,40995463,40965477,1936
1775002000.8314795,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4053425764,4169835959,105252,34738089,34710229,665
1775002001.3315692,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4088853938,4205233235,105268,35428174,35397276,16
1775002001.8316574,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4129849471,4246198635,106061,40995533,40965400,793
1775002002.3317482,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4165277653,4281595793,106064,35428182,35397158,3
1775002002.8318384,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4200015846,4316306043,106068,34738193,34710250,4
1775002003.3319273,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4241010949,4357271854,106072,40995103,40965811,4
1775002003.8320177,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4276438202,4392669018,106078,35427253,35397164,6
1775002004.3321064,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4317432846,4433634438,107273,40994644,40965420,1195
1775002004.8321948,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4352860034,4469031637,107499,35427188,35397199,226
1775002005.332286,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4393854677,4509997029,108068,40994643,40965392,569
1775002005.8323774,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4429281962,4545394242,108075,35427285,35397213,7
1775002006.3324687,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4464019265,4580104612,108080,34737303,34710370,5
1775002006.832565,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4505013954,4621070017,110632,40994689,40965405,2552
1775002007.3326578,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4540441314,4656467195,110788,35427360,35397178,156
1775002007.8327494,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4575178721,4691177514,110795,34737407,34710319,7
1775002008.3328407,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4616173501,4732142941,110799,40994780,40965427,4
1775002008.8329284,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4651601034,4767540112,111143,35427533,35397171,344
1775002009.3330235,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4692595880,4808505511,118274,40994846,40965399,7131
1775002009.8331122,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4728023476,4843902661,118913,35427596,35397150,639
1775002010.3332,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4763458376,4879271824,118918,35434900,35369163,5
1775002010.8332882,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4804446003,4920265273,120818,40987627,40993449,1900
1775002011.3333795,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4839183561,4954975614,120825,34737558,34710341,7
1775002011.8334699,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4880178703,4995941083,121523,40995142,40965469,698
1775002012.3335583,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4915606444,5031338290,121529,35427741,35397207,6
1775002012.8336487,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4955071953,5070813289,123922,39465509,39474999,2393
1775002013.3337393,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,4992029305,5107700883,124541,36957352,36887594,619
1775002013.83383,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5026767177,5142411273,124551,34737872,34710390,10
1775002014.3339202,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5068452339,5184063616,125379,41685162,41652343,828
1775002014.8340073,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5103190090,5218773908,125387,34737751,34710292,8
1775002015.3341002,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5144177579,5259731645,127664,40987489,40957737,2277
1775002015.8341875,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5179613267,5295136508,127676,35435688,35404863,12
1775002016.3342807,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5214351227,5329846793,127681,34737960,34710285,5
1775002016.834372,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5255346588,5370812318,129264,40995361,40965525,1583
1775002017.3344612,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5290774486,5406209364,129269,35427898,35397046,5
1775002017.8345504,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5331555338,5447166929,131448,40780852,40957565,2179
